No,Nama Prodi,Nama PT,Jenjang,LLDikti,
77,FARMASI,AKADEMI FARMASI KEBANGSAAN MAKASSAR,,,
78,FARMASI,AKADEMI FARMASI KUSUMA HUSADA PURWOKERTO,,,
79,FARMASI,AKADEMI FARMASI MAHADHIKA,,,
80,FARMASI,AKADEMI FARMASI MITRA SEHAT MANDIRI SIDOARJO,,,
81,FARMASI,AKADEMI FARMASI MUHAMMADIYAH CIREBON,D-III,4,
82,FARMASI,AKADEMI FARMASI MUHAMMADIYAH KABUPATEN KUNINGAN,,,
83,FARMASI,AKADEMI FARMASI NUSAPUTERA,,,
84,FARMASI,AKADEMI FARMASI PRAYOGA PADANG,,,
85,FARMASI,AKADEMI FARMASI PUTRA INDONESIA MALANG,,,
86,FARMASI,AKADEMI FARMASI RANAH MINANG,,,
87,FARMASI,AKADEMI FARMASI SANDI KARSA,D-III,9,
88,FARMASI,AKADEMI FARMASI SANTO FRANSISKUS XAVERIUS,,,
89,FARMASI,AKADEMI FARMASI SARASWATI DENPASAR,D-III,8,
90,FARMASI,AKADEMI FARMASI SURABAYA,,,
91,FARMASI,AKADEMI FARMASI TADULAKO FARMA,,,
92,FARMASI,AKADEMI FARMASI THERESIANA,D-III,6,
93,FARMASI,AKADEMI FARMASI TORAJA,,,
94,FARMASI,AKADEMI FARMASI YAMASI MAKASSAR,,,
95,FARMASI,AKADEMI FARMASI YAYASAN AL-FATAH,,,
96,FARMASI,AKADEMI FARMASI YAYASAN TENAGA PEMBANGUNAN ARJUNA LAGUBOTI,,,
97,FARMASI,AKADEMI FARMASI YPF,,,
98,FARMASI,AKADEMI FARMASI YPPM MANDIRI,,,
99,FISIOTERAPI,AKADEMI FISIOTERAPI HARAPAN BANGSA BANDA ACEH,,,
100,FISIOTERAPI,AKADEMI FISIOTERAPI MUHAMMADIYAH ACEH,,,
101,FISIOTERAPI,AKADEMI FISIOTERAPI RUMAH SAKIT DUSTIRA,,,
102,FISIOTERAPI,AKADEMI FISIOTERAPI WIDYA HUSADA,D-III,6,
103,FISIOTERAPI,AKADEMI FISIOTERAPI YAB YOGYAKARTA,D-III,5,
104,GIZI,AKADEMI GIZI ANDALUSIA,,,
105,Gizi,Akademi Gizi Karya Husada Kediri,D-III,7,
106,GIZI,AKADEMI ILMU GIZI YPAG MAKASSAR,,,
107,Manajemen Informatika,Akademi Ilmu Komputer Ternate,D-III,12,
108,Teknik Komputer,Akademi Ilmu Komputer Ternate,D-III,12,
109,Manajemen Pelabuhan,Akademi Ilmu Pelayaran Nusa Tenggara,D-III,8,
110,Teknologi Kimia Tekstil,Akademi Industri Tekstil Bandung,D-III,4,
111,Teknologi Industri Tekstil,Akademi Industri Tekstil Bandung,D-III,4,
112,Komputerisasi Akuntansi,Akademi Informatika Dan Komputer Medicom,D-III,1,
113,Teknik Komputer,Akademi Informatika Dan Komputer Medicom,D-III,1,
114,Manajemen Informatika,Akademi Informatika Dan Komputer Medicom,D-III,1,
115,KEBIDANAN,AKADEMI KEBIDANAN ABDI PERSADA,,,
116,KEBIDANAN,AKADEMI KEBIDANAN ABDURAHMAN,,,
117,KEBIDANAN,AKADEMI KEBIDANAN ADILA,D-III,2,
118,KEBIDANAN,AKADEMI KEBIDANAN AGATHA,D-III,1,
119,KEBIDANAN,AKADEMI KEBIDANAN AGUNG HUSADA,,,
120,KEBIDANAN,AKADEMI KEBIDANAN AIFA HUSADA BANGKALAN,,,
121,KEBIDANAN,AKADEMI KEBIDANAN AISYAH KABUPATEN PANGKEP,,,
122,KEBIDANAN,AKADEMI KEBIDANAN AISYIYAH PONTIANAK,D-III,11,
123,KEBIDANAN,AKADEMI KEBIDANAN AL-FATHONAH JAKARTA,D-III,3,
124,KEBIDANAN,AKADEMI KEBIDANAN ALIFA PRINGSEWU LAMPUNG,,,
