No,Nama Prodi,Nama PT,Jenjang,LLDikti,
6020,Hukum,Sekolah Tinggi Hukum Militer AHM - PTHM,S2,,
6021,Ilmu Hukum,Sekolah Tinggi Hukum Pasundan,S1,4,
6022,Sejarah Dan Peradaban Islam,Sekolah Tinggi Ilmu Adab Dan Budaya Islam Riyadul 'Ulum,S1,,
6023,Bahasa Dan Sastra Arab,Sekolah Tinggi Ilmu Adab Dan Budaya Islam Riyadul 'Ulum,S1,,
6024,Administrasi Negara,Sekolah Tinggi Ilmu Administrasi AAN,D-III,5,
6025,Administrasi Publik,Sekolah Tinggi Ilmu Administrasi AAN,S1,5,
6026,Administrasi Publik,Sekolah Tinggi Ilmu Administrasi AAN,D-III,5,
6027,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Adabiah,S1,10,
6028,Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Adabiah,S1,10,
6029,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Al Gazali Barru,S1,9,
6030,Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Amuntai,D-III,11,
6031,Administrasi Publik,Sekolah Tinggi Ilmu Administrasi Amuntai,S1,11,
6032,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Bagasasi,S1,4,
6033,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Bandung,S1,4,
6034,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Bandung,S1,4,
6035,Ilmu Administrasi,Sekolah Tinggi Ilmu Administrasi Bandung,S2,4,
6036,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Banten,S1,4,
6037,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Banten,S1,4,
6038,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Bayuangga,S1,7,
6039,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Bayuangga Probolinggo,S1,7,
6040,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Bengkulu,S1,2,
6041,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Bengkulu,S1,2,
6042,Administrasi Publik,Sekolah Tinggi Ilmu Administrasi Bengkulu,S1,2,
6043,Ilmu Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Bina Banua Banjarmasin,S1,11,
6044,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Bina Taruna,S1,16,
6045,Ilmu Administrasi,Sekolah Tinggi Ilmu Administrasi Bina Taruna,S2,16,
6046,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Cimahi,S1,4,
6047,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Cimahi,S1,4,
6048,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Darul Rahman Tual,S1,12,
6049,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Darul Rahman Tual,S1,12,
6050,Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Indragiri,S1,10,
6051,Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Indragiri,S1,10,
6052,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Iskandar Thani,S1,13,
6053,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Karya Dharma,S1,14,
6054,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Kawula Indonesia,S1,3,
6055,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Lancang Kuning,S1,10,
6056,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Lancang Kuning,S1,10,
6057,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Langgur,S1,12,
6058,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Langgur,S1,12,
6059,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Lppn,S1,10,
6060,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Lppn,S1,10,
6061,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Madani,S1,6,
6062,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Madani,S1,6,
6063,PEREKAM DAN INFORMASI KESEHATAN,SEKOLAH TINGGI ILMU ADMINISTRASI MALANG,D-III,7,
6064,Ilmu Administrasi,Sekolah Tinggi Ilmu Administrasi Malang,S2,7,
6065,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Malang,S1,7,
6066,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Malang,S1,7,
6067,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Mataram,S1,8,
6068,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Mataram,S1,8,
6069,Administrasi Publik,Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,S1,4,
6070,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Menara Siswa,S1,4,
6071,Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Menara Siswa,D-III,4,
6072,Ilmu Administrasi,Sekolah Tinggi Ilmu Administrasi Menara Siswa,S2,4,
6073,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Muhammadiyah Selong,S1,8,
6074,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Nasional,S1,13,
6075,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Pancamarga Palu,S1,16,
6076,Administrasi Publik,Sekolah Tinggi Ilmu Administrasi Panglima Sudirman,S1,7,
6077,Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Panglima Sudirman,S1,7,
6078,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Pelita Nusantara,S1,13,
6079,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Pembangunan,S1,7,
6080,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Pembangunan,S1,16,
6081,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Pembangunan,S1,7,
6082,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Puangrimaggalatung,S1,9,
6083,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Puangrimaggalatung,S1,9,
6084,Ilmu Administrasi,Sekolah Tinggi Ilmu Administrasi Puangrimaggalatung,S2,9,
6085,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Said Perintah,S1,12,
6086,Ilmu Administrasi Niaga,Sekolah TInggi Ilmu Administrasi Said Perintah Masohi,S1,,
6087,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Sandikta,S1,4,
6088,Administrasi Bisnis,Sekolah Tinggi Ilmu Administrasi Sandikta,S1,4,
6089,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Satya Negara,S1,2,
6090,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Saumlaki,S1,12,
6091,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Saumlaki,S1,12,
6092,Ilmu Administrasi,Sekolah Tinggi Ilmu Administrasi Sebelas April,S2,4,
6093,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Sebelas April,S1,4,
6094,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Setih Setio,S1,10,
6095,Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Setih Setio,D-III,10,
6096,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Setih Setio,S1,10,
6097,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Tabalong,S1,11,
6098,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Tabalong,S1,11,
6099,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Trinitas,S1,12,
6100,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi Trinitas,S1,12,
6101,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi Yappi Makassar,S1,9,
6102,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,S1,4,
6103,Ilmu Administrasi Niaga,Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,S1,4,
6104,Ilmu Administrasi Negara,Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,S2,4,
6105,Pendidikan Keagamaan Buddha,Sekolah Tinggi Ilmu Agama Buddha Jinarakkhita,S1,,
6106,Pendidikan Keagamaan Buddha,Sekolah Tinggi Ilmu Agama Buddha Smaratungga,S2,,
6107,Dharma Achariya,Sekolah Tinggi Ilmu Agama Buddha Smaratungga,S1,,
6108,Pendidikan Agama Islam,Sekolah Tinggi Ilmu Agama Islam Al Azhar,S1,,
6109,Ilmu Al Qur`an Dan Tafsir,Sekolah Tinggi Ilmu Al Qur`an An Nur Yogyakarta,S1,,
6110,Pendidikan Agama Islam,Sekolah Tinggi Ilmu Al Qur`an An Nur Yogyakarta,S1,,
6111,Ilmu Al Quran Dan Tafsir,Sekolah Tinggi Ilmu Al Quran Al Multazam,S1,,
6112,Ilmu Al-Qur'an Dan Tafsir,Sekolah Tinggi Ilmu Al Qur'an Ar-Rahman,S1,,
6113,Ilmu Hadis,Sekolah Tinggi Ilmu Al Qur'an Ar-Rahman,S1,,
6114,Ilmu Al-Qur'an Dan Tafsir,Sekolah Tinggi Ilmu Al Quran Wali Songo Situbondo Jawa Timur,S1,,
6115,Ilmu Hadis,Sekolah Tinggi Ilmu Al Quran Wali Songo Situbondo Jawa Timur,S1,,
6116,Ilmu Al-Qur`an Dan Tafsir,Sekolah Tinggi Ilmu Al-Qur`an (STIQ) Islamic Center Demak,S1,,
6117,Ilmu Al-Qur'an Dan Tafsir,Sekolah Tinggi Ilmu Al-Qur`an (STIQ) Isy Karima Karanganyar,S1,,
6118,Ilmu Al-Qur'an Dan Tafsir,Sekolah Tinggi Ilmu Al-Quran (STIQ) An-Nur Lempuing OKI,S1,,
6119,Ilmu Al-Quran Dan Tafsir,Sekolah Tinggi Ilmu Al-Qur'an (STIQ) Bima,S1,,
6120,Ilmu Al-Qur'an Dan Tafsir,Sekolah Tinggi Ilmu Al-Qur'an Al-Lathifiyyah Palembang Sumatera Selatan,S1,,
6121,Ilmu Al-Quran Dan Tafsir,Sekolah Tinggi Ilmu Al-Qur'an Nurul Islam,S1,,
6122,Pendidikan Bahasa Arab,Sekolah Tinggi Ilmu Bahasa Arab Ar-Raayah,S1,,
6123,Bahasa Dan Sastra Arab,Sekolah Tinggi Ilmu Bahasa Arab Darul Ulum Banyuanyar Pamekasan Jawa Timur,S1,,
6124,Sastra Inggris,Sekolah Tinggi Ilmu Bahasa Asing Bumi Gora Mataram,S1,8,
6125,Sastra Jepang,Sekolah Tinggi Ilmu Bahasa Asing Invada,S1,4,
6126,Sastra Inggris,Sekolah Tinggi Ilmu Bahasa Asing Invada,S1,4,
6127,Sastra Inggris,Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan,S1,1,
6128,Sastra Inggris,Sekolah Tinggi Ilmu Bahasa Asing Persada Bunda,S1,10,
6129,Pendidikan Bahasa Arab Dan Dakwah,Sekolah Tinggi Ilmu Bahasa Dan Dakwah Masjid Agung Sunan Ampel Surabaya Jatim,S1,,
6130,Sastra Inggris,Sekolah Tinggi Ilmu Bahasa Dan Sastra Satya Widya,S1,7,
6131,Manajemen,Sekolah Tinggi Ilmu Bisnis Kumala Nusa,D-III,5,
6132,Manajemen Retail,Sekolah Tinggi Ilmu Bisnis Kumala Nusa,S1,5,
6133,Sejarah Dan Kebudayaan  Islam,Sekolah Tinggi Ilmu Budaya Islam Syekh Jangkung Pati,S1,,
6134,Komunikasi Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Al - Biruni,S1,,
6135,Pengembangan Masyarakat Islam,Sekolah Tinggi Ilmu Dakwah Al - Biruni,S1,,
6136,Komunikasi Dan Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Al-Hamidy Pamekasan,S1,,
6137,Bimbingan Dan Penyuluhan Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Al Mardliyyah Pamekasan,S1,,
6138,Komunikasi Dan Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam AL-AZIZ Batam,S1,,
6139,Manajemen Dakwah,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Ar-rahmah Surabaya,S1,,
6140,Komunikasi Dan Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Bogor Jawa Barat,S1,,
6141,Manajemen Dakwah,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Nahdlatul Ulama Indramayu,S1,,
6142,Bimbingan Dan Konseling Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Nahdlatul Ulama Indramayu,S1,,
6143,Komunikasi Dan Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Nahdlatul Ulama Indramayu,S1,,
6144,Pengembangan Masyarakat Islam,Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Islam Nahdlatul Ulama Indramayu,S1,,
6145,Komunikasi Dan Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Mohammad Natsir,S1,,
6146,Bimbingan Dan Konseling Islam,Sekolah Tinggi Ilmu Dakwah Raudlatul Iman Sumenep Jawa Timur,S1,,
6147,Pengembangan Masyarakat Islam,Sekolah Tinggi Ilmu Dakwah Raudlatul Iman Sumenep Jawa Timur,S1,,
6148,Komunikasi Dan Penyiaran Islam,Sekolah Tinggi Ilmu Dakwah Sirnarasa,S1,,
6149,Bimbingan Penyuluhan Islam,Sekolah Tinggi Ilmu Dakwah Sirnarasa,S1,,
6150,Ekonomi Pembangunan,Sekolah Tinggi Ilmu Eknomi Yapis Merauke,S1,14,
6151,Ekonomi Syari'ah,Sekolah Tinggi Ilmu Ekonom Syari'ah Mitra Karya Bekasi Jawa Barat,S1,,
6152,Perbankan Syari'ah,Sekolah Tinggi Ilmu Ekonom Syari'ah Mitra Karya Bekasi Jawa Barat,S1,,
6153,Manajemen,Sekolah Tinggi Ilmu Ekonomi 45 Mataram,S1,8,
6154,Akuntansi,Sekolah Tinggi Ilmu Ekonomi 45 Mataram,S1,8,
6155,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AAS,D-III,6,
6156,Ekonomi Islam,Sekolah Tinggi Ilmu Ekonomi AAS,S1,6,
6157,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AAS,S1,6,
6158,Perpajakan,Sekolah Tinggi Ilmu Ekonomi AAS,D-III,6,
6159,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Abdi Nusa,S1,2,
6160,Manajemen,Sekolah Tinggi Ilmu Ekonomi Abdi Nusa,S1,2,
6161,Manajemen Informatika,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,D-III,6,
6162,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,D-III,6,
6163,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,S1,6,
6164,Manajemen,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,S2,6,
6165,Manajemen,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,S2,6,
6166,Manajemen,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,S1,6,
6167,Perbankan Dan Keuangan,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,D-III,6,
6168,Manajemen,Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,S1,3,
6169,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,S1,3,
6170,Keuangan Dan Perbankan,Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,D-III,3,
6171,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,D-III,3,
6172,Keuangan Syariah,Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,S2,3,
6173,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AKA,S1,6,
6174,Manajemen,Sekolah Tinggi Ilmu Ekonomi AKA,S1,6,
6175,Manajemen,Sekolah Tinggi Ilmu Ekonomi Al Washliyah,S1,1,
6176,Manajemen,Sekolah Tinggi Ilmu Ekonomi Al-Anwar,S1,7,
6177,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Al-Anwar,S1,7,
6178,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Al-Khairiyah,S1,4,
6179,Manajemen,Sekolah Tinggi Ilmu Ekonomi Al-Khairiyah,S1,4,
6180,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AMA,S1,6,
6181,Manajemen Perusahaan,Sekolah Tinggi Ilmu Ekonomi AMA,D-III,6,
6182,Manajemen,Sekolah Tinggi Ilmu Ekonomi AMA,S1,6,
6183,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AMA,D-III,6,
6184,Manajemen,Sekolah Tinggi Ilmu Ekonomi Amkop Makassar,S1,9,
6185,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Amkop Makassar,S1,9,
6186,Manajemen,Sekolah Tinggi Ilmu Ekonomi Amkop Makassar,S2,9,
6187,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AMM,S1,8,
6188,Manajemen,Sekolah Tinggi Ilmu Ekonomi AMM,S1,8,
6189,Keuangan Dan Perbankan,Sekolah Tinggi Ilmu Ekonomi AMM,D-III,8,
6190,Akuntansi,Sekolah Tinggi Ilmu Ekonomi AMM,D-III,8,
6191,Manajemen,Sekolah Tinggi Ilmu Ekonomi Amsir Pare-pare,S1,9,
6192,Manajemen,Sekolah Tinggi Ilmu Ekonomi Anindyaguna,S1,6,
6193,Manajemen,Sekolah Tinggi Ilmu Ekonomi APRIN,S1,2,
6194,Manajemen,Sekolah Tinggi Ilmu Ekonomi Aprin,S2,2,
6195,Manajemen,Sekolah Tinggi Ilmu Ekonomi Artha Bodhi Iswara,S2,7,
6196,Manajemen,Sekolah Tinggi Ilmu Ekonomi Asia Malang,S2,7,
6197,Manajemen,Sekolah Tinggi Ilmu Ekonomi Asia Malang,S1,7,
6198,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Asia Malang,S1,7,
6199,Manajemen Perusahaan,Sekolah Tinggi Ilmu Ekonomi Assholeh,D-III,6,
6200,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Assholeh,S1,6,
6201,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Atma Bhakti,S1,6,
6202,Manajemen,Sekolah Tinggi Ilmu Ekonomi Atma Bhakti,S1,6,
6203,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bajiminasa Makassar,S1,9,
6204,Manajemen Perhotelan Dan Pariwisata,Sekolah Tinggi Ilmu Ekonomi Bali International Institute Of Tourism Management Kuta Badung,S1,8,
6205,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Balikpapan,S1,11,
6206,Manajemen,Sekolah Tinggi Ilmu Ekonomi Balikpapan,S1,11,
6207,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bangkinang,S1,10,
6208,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bangkinang,S1,10,
6209,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bangkinang,S2,10,
6210,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bank Bpd Jawa Tengah,S1,6,
6211,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bank Bpd Jawa Tengah,S2,6,
6212,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah,S1,6,
6213,Manajemen,Sekolah Tinggi Ilmu Ekonomi Banten,S1,4,
6214,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Banten,S1,4,
6215,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bentara Persada Batam,S1,10,
6216,Manajemen Perusahaan,Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,D-III,3,
6217,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,D-III,3,
6218,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,S1,3,
6219,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,S1,3,
6220,Akuntansi,Sekolah Tinggi Ilmu Ekonomi BII Bekasi,S1,4,
6221,Manajemen,Sekolah Tinggi Ilmu Ekonomi BII Bekasi,S1,4,
6222,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bima,S1,8,
6223,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bina Karya,S1,1,
6224,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bina Karya,D-III,1,
6225,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Binaniaga,D-III,4,
6226,Manajemen,Sekolah Tinggi Ilmu Ekonomi Binaniaga,S1,4,
6227,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bisma Lepisi,S1,4,
6228,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bisma Lepisi,S1,4,
6229,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,S1,3,
6230,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,S1,3,
6231,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,D-III,3,
6232,Keuangan Dan Perbankan,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,D-III,3,
6233,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,S2,3,
6234,Manajemen,Sekolah Tinggi Ilmu Ekonomi Boedi Oetomo,S1,11,
6235,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bongaya Makassar,S2,9,
6236,Akuntansi,Sekolah Tinggi Ilmu Ekonomi BPKP,S1,3,
6237,Ekonomi Pembangunan,Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,S1,4,
6238,Ekonomi Pembangunan,Sekolah Tinggi Ilmu Ekonomi Bukit Zaitun Sorong,S1,14,
6239,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bukit Zaitun Sorong,S1,14,
6240,Ekonomi Pembangunan,Sekolah Tinggi Ilmu Ekonomi Bulungan Tarakan,S1,11,
6241,Manajemen,Sekolah Tinggi Ilmu Ekonomi Bulungan Tarakan,S1,11,
6242,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Cakrawala,S1,10,
6243,Manajemen,Sekolah Tinggi Ilmu Ekonomi Cendekia Bojonegoro,S1,7,
6244,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Cendekia Bojonegoro,S1,7,
6245,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama,S1,6,
6246,Manajemen,Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama,S1,6,
6247,Manajemen,Sekolah Tinggi Ilmu Ekonomi Cipasung,S1,4,
6248,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Cipasung,S1,4,
6249,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Cirebon,S1,4,
6250,Manajemen,Sekolah Tinggi Ilmu Ekonomi Cirebon,S1,4,
6251,Manajemen,Sekolah Tinggi Ilmu Ekonomi Cirebon,S2,4,
6252,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dahani Dahanai Buntok,S1,11,
6253,Perbankan Syariah,Sekolah Tinggi Ilmu Ekonomi Dan Bisnis Islam Lampung,S1,,
6254,Ekonomi Syariah,Sekolah Tinggi Ilmu Ekonomi Dan Bisnis Islam Lampung,S1,,
6255,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dan Bisnis Prana Putra,S1,2,
6256,Manajemen,Sekolah Tinggi Ilmu Ekonomi Deli Sumatera,S1,1,
6257,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dewantara,S1,4,
6258,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Bandung,D-III,4,
6259,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Bandung,S1,4,
6260,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Bandung,D-III,4,
6261,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Bandung,S1,4,
6262,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Bumi Putra,S1,3,
6263,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Bumi Putra,S2,3,
6264,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dharma Bumi Putra,S1,3,
6265,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Nasional Jember,S1,7,
6266,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dharma Putra,S2,6,
6267,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dharma Putra,D-III,6,
6268,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Putra,S2,6,
6269,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dharma Putra Pekanbaru,D-III,10,
6270,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Putra Pekanbaru,S1,10,
6271,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang,S1,6,
6272,Manajemen Perusahaan,Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang,D-III,6,
6273,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dr Kh Ez Mutaqien,S1,4,
6274,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dr Kh Ez Mutaqien,S1,4,
6275,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dwi Sakti Baturaja,S1,2,
6276,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dwimulya,S1,4,
6277,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dwimulya,S1,4,
6278,Manajemen,Sekolah Tinggi Ilmu Ekonomi Dwipa Wacana,S1,3,
6279,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Dwipa Wacana,S1,3,
6280,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Eben Haezer Manado,S1,16,
6281,Manajemen,Sekolah Tinggi Ilmu Ekonomi Eben Haezer Manado,S1,16,
6282,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Eka Prasetya,S1,1,
6283,Manajemen,Sekolah Tinggi Ilmu Ekonomi Eka Prasetya,S1,1,
6284,Manajemen,Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,S1,4,
6285,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,S1,4,
6286,Manajemen,Sekolah Tinggi Ilmu Ekonomi Ekuitas,S2,4,
6287,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Ekuitas,S1,4,
6288,Manajemen,Sekolah Tinggi Ilmu Ekonomi Ekuitas,S1,4,
6289,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Ekuitas,D-III,4,
6290,Manajemen,Sekolah Tinggi Ilmu Ekonomi El Fatah Manado,S1,16,
6291,Manajemen,Sekolah Tinggi Ilmu Ekonomi El Hakim,S1,10,
6292,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Enam-Enam Kendari,S1,9,
6293,Manajemen,Sekolah Tinggi Ilmu Ekonomi Enam-Enam Kendari,S1,9,
6294,Magister Manajemen,Sekolah Tinggi Ilmu Ekonomi Enam-Enam Kendari,S2,9,
6295,Manajemen,Sekolah Tinggi Ilmu Ekonomi Fatahillah,S1,7,
6296,Akuntansi,Sekolah Tinggi Ilmu Ekonomi Galileo,S1,10,
